SKU,created_at,day,pSupplierSKU,psupplierCode,qty_count,order_count,price,pName
1020922131,"2014-12-25 14:18:50",0,E27-A30-220V-CW,122-0005,1,1,3.58,"LED Corn Bulb E27 3W 30*5050SMD 6000-6500K Cool White(220-240V)"
2300527353,"2014-12-25 15:06:31",0,GG801-PP,245-0002,1,1,11.38,"LED Night Lamp Purple Light USB Rechargeable Octopus Style"
1000723142,"2014-12-25 16:31:09",4,LX-SB-1,119-0014,11,2,4.07,"LED Spot Bulb GU10 6W 350-400LM 15*SMD5730 Warm White-Silver(AC110-240V)"
1000711292,"2014-12-25 16:32:32",0,SL-22-WW,119-0015,2,1,3.09,"3W LED Spot Bulb E27 AC85-265V Warm White"
1170922066,"2014-12-25 17:30:48",0,1157-DT7.5W,122-0005,2,1,8.29,"LED Reversing Lamp 1157 7.5W 380LM 5-LED High Power White Light(DC12-24V)"
1130324795,"2014-12-25 17:30:48",2,1156-DT7.5W-Y,122-0005,6,3,10.41,"LED Turn Signal Light 1156(BA15S) 7.5W 400LM 5-COB Yellow Light(DC12-24V)"
1520726691,"2014-12-25 17:45:06",0,MZ-A5-WW,122-0005,3,1,9.76,"LED Module 12W 100-SMD5050 Warm White(DC12V) 20PCS"
2540728311,"2014-12-25 17:45:06",0,PC-UW1W-WW,206-0005,1,1,13.01,"LED Underwater Light 1W 95-105LM High Power Warm White-Silver(DC12V)"
1000920121,"2014-12-25 18:19:11",0,SPM-5W-002CW,119-0016,5,1,4.72,"LED Spot Bulb 5W E27 AC100-220V Cool White Dimmable"
1000920122,"2014-12-25 18:19:11",1,SPM-5W-003CW,119-0016,6,2,4.72,"LED Spot Bulb 5W E14 AC100-220V Cool White Dimmable"
1010928145,"2014-12-25 18:19:11",5,GY-E27-20-2835-CW,119-0001,34,3,1.30,"LED Ball Bulb E27 3W 220LM 20xSMD2835 Cool White(AC220-240V)"
1010928337,"2014-12-25 18:19:11",0,PC-BL3W-P,206-0005,20,1,1.46,"LED Ball Bulb E27 3W 300-350LM 10xSMD2835 Cool White(AC180-240V)"
1030726118,"2014-12-25 18:40:46",0,LX-LZD-1,119-0014,10,1,4.07,"LED Candle Bulb E27 3W 150-180LM 6xSMD5630 Warm White-Silver(AC110-240V)"
1730920693,"2014-12-25 18:49:07",0,SY-MB4200Y-CW,119-0011,11,1,19.02,"LED Panel Light 200*200mm 16W AC90-260V Cool White Round Shape Side Lighting"
1030727054,"2014-12-25 19:42:09",0,C3014-4W-G-WW,141-0005,2,1,5.85,"LED Candle Bulb E14 4W 320LM 32xSMD3014 Warm White-Champaign Gold(AC85-265V)"
1030721481,"2014-12-25 19:42:09",0,CL-LZ-28-WW-220V,119-0015,2,1,5.72,"LED Candle Bulb E14 3W 0-210Lumen Warm White Dimmable(AC220V,Golden)"
1100922055,"2014-12-25 20:41:44",4,9006-D6W,122-0005,4,2,7.41,"LED Fog Light 9006 6W 300LM 4-LED High Power White Light(DC12-24V)"
1000920370,"2014-12-25 21:26:53",0,SL-27-CW,119-0015,2,1,3.71,"LED Spot Bulb E27 3W 270-300LM Cool White Light (85-265V)"
2540628317,"2014-12-25 21:26:53",0,PC-UW6W-RGB,206-0005,3,2,25.69,"LED Underwater Light 6W 6-LED High Power RGB Light-Silver(DC12V)"
1150921592,"2014-12-25 21:30:33",0,27MM-CW,122-0005,6,1,2.46,"LED License Plate Light Festoon 1.2W DC12V 27mm White Light(1 Pair)"
1000726989,"2014-12-25 21:36:09",4,MG043,119-0001,5,4,8.46,"LED Spot Bulb GU10 3W 300LM 9xSMD2835 Warm White-Silver(AC220-240V) 4PCS"
1000720106,"2014-12-25 22:20:01",0,SPM-5W-002WW,119-0016,4,1,4.72,"LED Spot Bulb 5W E27 AC100-220V Warm White Dimmable"
1020722108,"2014-12-25 23:15:51",0,E14-G24-110V-WW,122-0005,4,1,3.58,"LED Corn Bulb E14 3W 24*5630SMD 2800-3200K Warm White(110-130V)"
1000723496,"2014-12-26 00:16:15",3,E27-4W-WW,141-0005,8,2,3.09,"LED Spot Bulb E27 4W 320LM 4-LED High Power Warm White-Silver(AC85-265V)"
